
============================================================================================
[C_SFT] Matched-pair assertion-probe means at L16
============================================================================================
  prompts with both a correct AND a wrong rollout containing assertions: 213
  mean(delta = correct_mean - wrong_mean):     +0.312
  median(delta):                                +0.339
  prompts where probe ranks correct > wrong:    183/213 (86%)
  prompts where probe ranks wrong > correct:    30/213 (14%)

   prompt   n_corr  n_wrong    correct_mean    wrong_mean       delta
  --------------------------------------------------------------------------------
      359       14        1           0.950         0.011      +0.939
      401       12        1           0.894         0.000      +0.894
      322        8        1           0.908         0.056      +0.851
       34       11        1           0.929         0.126      +0.803
      403        8        2           0.923         0.140      +0.783
      217        3        2           0.768         0.000      +0.768
      376        5        1           0.939         0.175      +0.764
      467        7        1           0.760         0.000      +0.760
       51        8        1           0.798         0.047      +0.751
      438       12        1           0.781         0.034      +0.747
      105        7        3           0.800         0.063      +0.737
      196        9        2           0.719         0.002      +0.717
      466        2        2           0.895         0.178      +0.717
      338        1        5           0.827         0.111      +0.717
      262        8        1           0.714         0.000      +0.713
      200        9        5           0.907         0.206      +0.701
      220        1        2           0.926         0.227      +0.699
      320        1        1           0.706         0.010      +0.696
      238        1        3           0.822         0.129      +0.693
      205        6        1           0.748         0.061      +0.687
      113        1        6           0.813         0.131      +0.683
      449        1        5           0.786         0.110      +0.677
      386        5        4           0.985         0.320      +0.665
      361       13        2           0.783         0.120      +0.664
      385        2        7           0.696         0.044      +0.652
       57        2        4           0.877         0.235      +0.642
      456        5        1           0.644         0.010      +0.635
      332        5        4           0.744         0.112      +0.632
       80        9        3           0.721         0.090      +0.631
      448        3        7           0.916         0.294      +0.622
      461        4        2           0.633         0.020      +0.613
       11        7        3           0.787         0.181      +0.606
      231        5        4           0.736         0.133      +0.603
      324        8        4           0.809         0.216      +0.593
       43        8        3           0.816         0.224      +0.592
      343        1        4           0.603         0.017      +0.586
      246        6        3           0.892         0.314      +0.577
       18        2        2           0.678         0.102      +0.576
      252       11        1           0.621         0.046      +0.575
      179        5        3           0.678         0.106      +0.572
       87        1        8           0.842         0.271      +0.571
      152        5        3           0.753         0.184      +0.570
      326       10        2           0.862         0.295      +0.567
      418       10        2           0.799         0.236      +0.564
      165        2        3           0.957         0.397      +0.560
      101       11        3           0.918         0.373      +0.545
      249        9        4           0.893         0.353      +0.540
      318        4        2           0.781         0.251      +0.530
      222        8        1           0.683         0.157      +0.525
      114        4        1           0.687         0.166      +0.521
      197        1        4           0.784         0.278      +0.506
      182        1        6           0.897         0.397      +0.500
      451        4        2           0.626         0.128      +0.498
      213        5        1           0.498         0.000      +0.498
       15        6        5           0.897         0.400      +0.497
       99        2        2           0.951         0.455      +0.497
